Currency,Total Price,Base Price,Fee Amount,Grand Total Price,Additional fees,Fee Type
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1238.16,1001.00,"['0.00', '0.00']",1238.16,['60.00'],['CHECKED_BAGS']
EUR,1248.73,1001.00,"['0.00', '0.00']",1248.73,['60.00'],['CHECKED_BAGS']
EUR,1626.16,1389.00,"['0.00', '0.00']",1626.16,['60.00'],['CHECKED_BAGS']
EUR,1956.03,1720.00,"['0.00', '0.00']",1956.03,['70.00'],['CHECKED_BAGS']
EUR,1956.03,1720.00,"['0.00', '0.00']",1956.03,['70.00'],['CHECKED_BAGS']
EUR,429.83,226.00,"['0.00', '0.00']",429.83,['90.00'],['CHECKED_BAGS']
EUR,431.17,226.00,"['0.00', '0.00']",431.17,['90.00'],['CHECKED_BAGS']
EUR,439.66,267.00,"['0.00', '0.00']",439.66,['75.00'],['CHECKED_BAGS']
EUR,465.92,251.00,"['0.00', '0.00']",465.92,[],[]
EUR,465.92,251.00,"['0.00', '0.00']",465.92,[],[]
EUR,465.92,251.00,"['0.00', '0.00']",465.92,[],[]
EUR,465.92,251.00,"['0.00', '0.00']",465.92,[],[]
EUR,465.92,251.00,"['0.00', '0.00']",465.92,[],[]
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,476.90,251.00,"['0.00', '0.00']",476.90,['65.00'],['CHECKED_BAGS']
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,477.16,251.00,"['0.00', '0.00']",477.16,[],[]
EUR,481.83,278.00,"['0.00', '0.00']",481.83,['90.00'],['CHECKED_BAGS']
EUR,481.83,278.00,"['0.00', '0.00']",481.83,['90.00'],['CHECKED_BAGS']
EUR,481.83,278.00,"['0.00', '0.00']",481.83,['90.00'],['CHECKED_BAGS']
EUR,481.83,278.00,"['0.00', '0.00']",481.83,['90.00'],['CHECKED_BAGS']
EUR,483.45,266.00,"['0.00', '0.00']",483.45,[],[]
EUR,495.03,266.00,"['0.00', '0.00']",495.03,['65.00'],['CHECKED_BAGS']
EUR,495.03,266.00,"['0.00', '0.00']",495.03,['65.00'],['CHECKED_BAGS']
EUR,543.74,453.00,"['0.00', '0.00']",543.74,[],[]
EUR,549.56,349.00,"['0.00', '0.00']",549.56,['75.00'],['CHECKED_BAGS']
EUR,549.56,349.00,"['0.00', '0.00']",549.56,['75.00'],['CHECKED_BAGS']
EUR,567.16,341.00,"['0.00', '0.00']",567.16,[],[]
EUR,629.56,429.00,"['0.00', '0.00']",629.56,['75.00'],['CHECKED_BAGS']
EUR,629.56,429.00,"['0.00', '0.00']",629.56,['75.00'],['CHECKED_BAGS']
EUR,629.56,429.00,"['0.00', '0.00']",629.56,['75.00'],['CHECKED_BAGS']
EUR,664.56,349.00,"['0.00', '0.00']",664.56,[],[]
EUR,664.56,349.00,"['0.00', '0.00']",664.56,[],[]
EUR,756.46,484.00,"['0.00', '0.00']",756.46,[],[]
EUR,756.46,484.00,"['0.00', '0.00']",756.46,[],[]
EUR,756.46,484.00,"['0.00', '0.00']",756.46,[],[]
EUR,756.46,484.00,"['0.00', '0.00']",756.46,[],[]
EUR,1014.00,791.00,"['0.00', '0.00']",1014.00,[],[]
EUR,1014.00,791.00,"['0.00', '0.00']",1014.00,[],[]
EUR,1061.24,858.00,"['0.00', '0.00']",1061.24,['100.00'],['CHECKED_BAGS']
EUR,1108.46,904.00,"['0.00', '0.00']",1108.46,[],[]
EUR,1108.46,904.00,"['0.00', '0.00']",1108.46,[],[]
EUR,1111.71,904.00,"['0.00', '0.00']",1111.71,[],[]
EUR,1112.23,904.00,"['0.00', '0.00']",1112.23,[],[]
EUR,1113.83,904.00,"['0.00', '0.00']",1113.83,[],[]
EUR,1113.83,904.00,"['0.00', '0.00']",1113.83,[],[]
EUR,1114.61,904.00,"['0.00', '0.00']",1114.61,[],[]
EUR,1114.61,904.00,"['0.00', '0.00']",1114.61,[],[]
EUR,1114.61,904.00,"['0.00', '0.00']",1114.61,[],[]
EUR,1114.61,904.00,"['0.00', '0.00']",1114.61,[],[]
EUR,1114.61,904.00,"['0.00', '0.00']",1114.61,[],[]
EUR,1128.81,904.00,"['0.00', '0.00']",1128.81,['140.00'],['CHECKED_BAGS']
EUR,1128.81,904.00,"['0.00', '0.00']",1128.81,['140.00'],['CHECKED_BAGS']
EUR,1128.81,904.00,"['0.00', '0.00']",1128.81,['140.00'],['CHECKED_BAGS']
EUR,1128.81,904.00,"['0.00', '0.00']",1128.81,['140.00'],['CHECKED_BAGS']
EUR,1128.85,904.00,"['0.00', '0.00']",1128.85,['140.00'],['CHECKED_BAGS']
EUR,1129.21,904.00,"['0.00', '0.00']",1129.21,['140.00'],['CHECKED_BAGS']
EUR,1129.21,904.00,"['0.00', '0.00']",1129.21,['140.00'],['CHECKED_BAGS']
EUR,1129.21,904.00,"['0.00', '0.00']",1129.21,['140.00'],['CHECKED_BAGS']
EUR,1129.21,904.00,"['0.00', '0.00']",1129.21,['140.00'],['CHECKED_BAGS']
EUR,1129.73,904.00,"['0.00', '0.00']",1129.73,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1132.11,904.00,"['0.00', '0.00']",1132.11,['140.00'],['CHECKED_BAGS']
EUR,1205.46,1001.00,"['0.00', '0.00']",1205.46,[],[]
EUR,1212.85,988.00,"['0.00', '0.00']",1212.85,[],[]
EUR,1213.21,988.00,"['0.00', '0.00']",1213.21,[],[]
EUR,1216.11,988.00,"['0.00', '0.00']",1216.11,[],[]
EUR,1216.11,988.00,"['0.00', '0.00']",1216.11,[],[]
EUR,1216.11,988.00,"['0.00', '0.00']",1216.11,[],[]
EUR,1216.11,988.00,"['0.00', '0.00']",1216.11,[],[]
EUR,1216.11,988.00,"['0.00', '0.00']",1216.11,[],[]
EUR,1216.11,988.00,"['0.00', '0.00']",1216.11,[],[]
EUR,1233.21,1001.00,"['0.00', '0.00']",1233.21,['60.00'],['CHECKED_BAGS']
