Traveler ID,Fare Option,Traveler Type,Currency,Total Price,Base Price,Segment IDs,Cabins,Fare Bases,Branded Fares,Branded Fare Labels,Classes,Included Checked Bags Quantities,BAGGAGE_description,BAGGAGE_isChargeable,BAGGAGE_amenityProvider,MEAL_description,MEAL_isChargeable,MEAL_amenityProvider,ENTERTAINMENT_description,ENTERTAINMENT_isChargeable,ENTERTAINMENT_amenityProvider,BRANDED_FARES_description,BRANDED_FARES_isChargeable,BRANDED_FARES_amenityProvider,PRE_RESERVED_SEAT_description,PRE_RESERVED_SEAT_isChargeable,PRE_RESERVED_SEAT_amenityProvider,TRAVEL_SERVICES_description,TRAVEL_SERVICES_isChargeable,TRAVEL_SERVICES_amenityProvider
1,STANDARD,ADULT,EUR,431.17,226.00,"['144', '145']","['ECONOMY', 'ECONOMY']","['VJ1QDKLT', 'VJ1QDKLT']","['LIGHT', 'LIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAG UP TO 23KG; CHECKED BAG UP TO 23KG,True; True,BrandedFare; BrandedFare,ALCOHOLIC DRINK; NON ALCOHOLIC DRINK; MEAL; ALCOHOLIC DRINK; NON ALCOHOLIC DRINK; MEAL,True; False; True; True; False; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,USB POWER; USB POWER,False; False,BrandedFare; BrandedFare,PREMIUM SEAT; PREMIUM SEAT,True; True,BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,434.28,267.00,"['89', '90']","['ECONOMY', 'ECONOMY']","['AL0DSI05', 'AL0DSI05']","['DISCOUNT', 'DISCOUNT']","['DISCOUNT', 'DISCOUNT']","['A', 'A']","[0, 0]",FIRST BAG UP TO 23KG AND 158CM; SECOND BAG UP TO 23KG AND158CM; FIRST BAG UP TO 23KG AND 158CM; SECOND BAG UP TO 23KG AND158CM,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,MEAL 1; MEAL 1,False; False,BrandedFare; BrandedFare,,,,,,,EXTRA LEG ROOM OR FRONT SEAT; SEAT RESERVATION; EXTRA LEG ROOM OR FRONT SEAT; SEAT RESERVATION,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,
1,STANDARD,ADULT,EUR,434.28,267.00,"['31', '32']","['ECONOMY', 'ECONOMY']","['AL0DSI05', 'AL0DSI05']","['DISCOUNT', 'DISCOUNT']","['DISCOUNT', 'DISCOUNT']","['A', 'A']","[0, 0]",FIRST BAG UP TO 23KG AND 158CM; SECOND BAG UP TO 23KG AND158CM; FIRST BAG UP TO 23KG AND 158CM; SECOND BAG UP TO 23KG AND158CM,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,MEAL 1; MEAL 1,False; False,BrandedFare; BrandedFare,,,,,,,EXTRA LEG ROOM OR FRONT SEAT; SEAT RESERVATION; EXTRA LEG ROOM OR FRONT SEAT; SEAT RESERVATION,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,
1,STANDARD,ADULT,EUR,439.66,267.00,"['113', '114']","['ECONOMY', 'ECONOMY']","['AL0DSI05', 'AL0DSI05']","['DISCOUNT', 'DISCOUNT']","['DISCOUNT', 'DISCOUNT']","['A', 'A']","[0, 0]",FIRST BAG UP TO 23KG AND 158CM; SECOND BAG UP TO 23KG AND158CM; FIRST BAG UP TO 23KG AND 158CM; SECOND BAG UP TO 23KG AND158CM,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,MEAL 1; MEAL 1,False; False,BrandedFare; BrandedFare,,,,,,,EXTRA LEG ROOM OR FRONT SEAT; SEAT RESERVATION; EXTRA LEG ROOM OR FRONT SEAT; SEAT RESERVATION,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,
1,STANDARD,ADULT,EUR,448.25,191.00,"['138', '139', '140']","['ECONOMY', 'ECONOMY', 'ECONOMY']","['U3BSC', 'U3BSC', 'O2BSC']","['BSC', 'BSC', 'BSC']","['BASIC', 'BASIC', 'BASIC']","['U', 'L', 'O']","[1, 1, 1]",PRE PAID BAGGAGE; PRE PAID BAGGAGE; PRE PAID BAGGAGE,True; True; True,BrandedFare; BrandedFare; BrandedFare,MEAL; MEAL; MEAL,False; False; False,BrandedFare; BrandedFare; BrandedFare,,,,BASIC SEAT; PREMIUM SEAT; BASIC SEAT; PREMIUM SEAT; BASIC SEAT; PREMIUM SEAT,True; True; True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,448.25,191.00,"['141', '142', '143']","['ECONOMY', 'ECONOMY', 'ECONOMY']","['U3BSC', 'U3BSC', 'O2BSC']","['BSC', 'BSC', 'BSC']","['BASIC', 'BASIC', 'BASIC']","['U', 'L', 'O']","[1, 1, 1]",PRE PAID BAGGAGE; PRE PAID BAGGAGE; PRE PAID BAGGAGE,True; True; True,BrandedFare; BrandedFare; BrandedFare,MEAL; MEAL; MEAL,False; False; False,BrandedFare; BrandedFare; BrandedFare,,,,BASIC SEAT; PREMIUM SEAT; BASIC SEAT; PREMIUM SEAT; BASIC SEAT; PREMIUM SEAT,True; True; True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,460.25,203.00,"['222', '223', '224']","['ECONOMY', 'ECONOMY', 'ECONOMY']","['X3BSC', 'X3BSC', 'X3BSC']","['BSC', 'BSC', 'BSC']","['BASIC', 'BASIC', 'BASIC']","['W', 'L', 'X']","[1, 1, 1]",PRE PAID BAGGAGE; PRE PAID BAGGAGE; PRE PAID BAGGAGE,True; True; True,BrandedFare; BrandedFare; BrandedFare,MEAL; MEAL; MEAL,False; False; False,BrandedFare; BrandedFare; BrandedFare,,,,BASIC SEAT; BASIC SEAT; BASIC SEAT,True; True; True,BrandedFare; BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,460.25,203.00,"['225', '226', '227']","['ECONOMY', 'ECONOMY', 'ECONOMY']","['X3BSC', 'X3BSC', 'X3BSC']","['BSC', 'BSC', 'BSC']","['BASIC', 'BASIC', 'BASIC']","['W', 'L', 'X']","[1, 1, 1]",PRE PAID BAGGAGE; PRE PAID BAGGAGE; PRE PAID BAGGAGE,True; True; True,BrandedFare; BrandedFare; BrandedFare,MEAL; MEAL; MEAL,False; False; False,BrandedFare; BrandedFare; BrandedFare,,,,BASIC SEAT; BASIC SEAT; BASIC SEAT,True; True; True,BrandedFare; BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,460.25,203.00,"['228', '229', '230']","['ECONOMY', 'ECONOMY', 'ECONOMY']","['X3BSC', 'X3BSC', 'X3BSC']","['BSC', 'BSC', 'BSC']","['BASIC', 'BASIC', 'BASIC']","['W', 'L', 'X']","[1, 1, 1]",PRE PAID BAGGAGE; PRE PAID BAGGAGE; PRE PAID BAGGAGE,True; True; True,BrandedFare; BrandedFare; BrandedFare,MEAL; MEAL; MEAL,False; False; False,BrandedFare; BrandedFare; BrandedFare,,,,BASIC SEAT; BASIC SEAT; BASIC SEAT,True; True; True,BrandedFare; BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,460.25,203.00,"['195', '196', '197']","['ECONOMY', 'ECONOMY', 'ECONOMY']","['X3BSC', 'X3BSC', 'X3BSC']","['BSC', 'BSC', 'BSC']","['BASIC', 'BASIC', 'BASIC']","['W', 'L', 'X']","[1, 1, 1]",PRE PAID BAGGAGE; PRE PAID BAGGAGE; PRE PAID BAGGAGE,True; True; True,BrandedFare; BrandedFare; BrandedFare,MEAL; MEAL; MEAL,False; False; False,BrandedFare; BrandedFare; BrandedFare,,,,BASIC SEAT; BASIC SEAT; BASIC SEAT,True; True; True,BrandedFare; BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,460.25,203.00,"['198', '199', '200']","['ECONOMY', 'ECONOMY', 'ECONOMY']","['X3BSC', 'X3BSC', 'X3BSC']","['BSC', 'BSC', 'BSC']","['BASIC', 'BASIC', 'BASIC']","['W', 'L', 'X']","[1, 1, 1]",PRE PAID BAGGAGE; PRE PAID BAGGAGE; PRE PAID BAGGAGE,True; True; True,BrandedFare; BrandedFare; BrandedFare,MEAL; MEAL; MEAL,False; False; False,BrandedFare; BrandedFare; BrandedFare,,,,BASIC SEAT; BASIC SEAT; BASIC SEAT,True; True; True,BrandedFare; BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,460.25,203.00,"['201', '202', '203']","['ECONOMY', 'ECONOMY', 'ECONOMY']","['X3BSC', 'X3BSC', 'X3BSC']","['BSC', 'BSC', 'BSC']","['BASIC', 'BASIC', 'BASIC']","['W', 'L', 'X']","[1, 1, 1]",PRE PAID BAGGAGE; PRE PAID BAGGAGE; PRE PAID BAGGAGE,True; True; True,BrandedFare; BrandedFare; BrandedFare,MEAL; MEAL; MEAL,False; False; False,BrandedFare; BrandedFare; BrandedFare,,,,BASIC SEAT; BASIC SEAT; BASIC SEAT,True; True; True,BrandedFare; BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,465.92,251.00,"['21', '22']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,465.92,251.00,"['172', '173']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,465.92,251.00,"['127', '128']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,465.92,251.00,"['191', '192']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,476.90,251.00,"['175', '176']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,476.90,251.00,"['148', '149']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,476.90,251.00,"['119', '120']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,476.90,251.00,"['95', '96']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,476.90,251.00,"['193', '194']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,476.90,251.00,"['39', '40']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['41', '42']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['79', '80']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['49', '50']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['69', '70']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['27', '28']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['170', '171']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['35', '36']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['125', '126']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['81', '82']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['117', '118']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['9', '10']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['218', '219']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,477.16,251.00,"['187', '188']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['ELIGHT', 'ELIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['V', 'V']","[0, 0]",CHECKED BAGGAGE UP TO 23KGS; CHECKED BAGGAGE UP TO 23KGS,True; True,BrandedFare; BrandedFare,MEAL AND BEVERAGE; MEAL AND BEVERAGE,False; False,BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,481.83,278.00,"['43', '44']","['ECONOMY', 'ECONOMY']","['TJ1QDKLT', 'TJ1QDKLT']","['LIGHT', 'LIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['T', 'T']","[0, 0]",CHECKED BAG UP TO 23KG; CHECKED BAG UP TO 23KG,True; True,BrandedFare; BrandedFare,ALCOHOLIC DRINK; NON ALCOHOLIC DRINK; MEAL; ALCOHOLIC DRINK; NON ALCOHOLIC DRINK; MEAL,True; False; True; True; False; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,USB POWER; USB POWER,False; False,BrandedFare; BrandedFare,PREMIUM SEAT; PREMIUM SEAT,True; True,BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,481.83,278.00,"['83', '84']","['ECONOMY', 'ECONOMY']","['TJ1QDKLT', 'TJ1QDKLT']","['LIGHT', 'LIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['T', 'T']","[0, 0]",CHECKED BAG UP TO 23KG; CHECKED BAG UP TO 23KG,True; True,BrandedFare; BrandedFare,ALCOHOLIC DRINK; NON ALCOHOLIC DRINK; MEAL; ALCOHOLIC DRINK; NON ALCOHOLIC DRINK; MEAL,True; False; True; True; False; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,USB POWER; USB POWER,False; False,BrandedFare; BrandedFare,PREMIUM SEAT; PREMIUM SEAT,True; True,BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,481.83,278.00,"['51', '52']","['ECONOMY', 'ECONOMY']","['TJ1QDKLT', 'TJ1QDKLT']","['LIGHT', 'LIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['T', 'T']","[0, 0]",CHECKED BAG UP TO 23KG; CHECKED BAG UP TO 23KG,True; True,BrandedFare; BrandedFare,ALCOHOLIC DRINK; NON ALCOHOLIC DRINK; MEAL; ALCOHOLIC DRINK; NON ALCOHOLIC DRINK; MEAL,True; False; True; True; False; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,USB POWER; USB POWER,False; False,BrandedFare; BrandedFare,PREMIUM SEAT; PREMIUM SEAT,True; True,BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,483.17,278.00,"['146', '147']","['ECONOMY', 'ECONOMY']","['TJ1QDKLT', 'TJ1QDKLT']","['LIGHT', 'LIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['T', 'T']","[0, 0]",CHECKED BAG UP TO 23KG; CHECKED BAG UP TO 23KG,True; True,BrandedFare; BrandedFare,ALCOHOLIC DRINK; NON ALCOHOLIC DRINK; MEAL; ALCOHOLIC DRINK; NON ALCOHOLIC DRINK; MEAL,True; False; True; True; False; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,USB POWER; USB POWER,False; False,BrandedFare; BrandedFare,PREMIUM SEAT; PREMIUM SEAT,True; True,BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,483.17,278.00,"['103', '104']","['ECONOMY', 'ECONOMY']","['TJ1QDKLT', 'TJ1QDKLT']","['LIGHT', 'LIGHT']","['ECONOMY LIGHT', 'ECONOMY LIGHT']","['T', 'T']","[0, 0]",CHECKED BAG UP TO 23KG; CHECKED BAG UP TO 23KG,True; True,BrandedFare; BrandedFare,ALCOHOLIC DRINK; NON ALCOHOLIC DRINK; MEAL; ALCOHOLIC DRINK; NON ALCOHOLIC DRINK; MEAL,True; False; True; True; False; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,USB POWER; USB POWER,False; False,BrandedFare; BrandedFare,PREMIUM SEAT; PREMIUM SEAT,True; True,BrandedFare; BrandedFare,,,,,,
1,STANDARD,ADULT,EUR,491.20,266.00,"['61', '62']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['BASIC', 'BASIC']","['BASIC', 'BASIC']","['V', 'V']","[0, 0]",FIRST CHECKED BAG; SECOND CHECKED BAG; THIRD CHECKED BAG; FIRST CHECKED BAG; SECOND CHECKED BAG; THIRD CHECKED BAG,True; True; True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,MEAL; SNACK OR DRINK; MEAL; SNACK OR DRINK,False; True; False; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,495.03,266.00,"['189', '190']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['BASIC', 'BASIC']","['BASIC', 'BASIC']","['V', 'V']","[0, 0]",FIRST CHECKED BAG; SECOND CHECKED BAG; THIRD CHECKED BAG; FIRST CHECKED BAG; SECOND CHECKED BAG; THIRD CHECKED BAG,True; True; True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,MEAL; SNACK OR DRINK; MEAL; SNACK OR DRINK,False; True; False; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,495.03,266.00,"['37', '38']","['ECONOMY', 'ECONOMY']","['VKN8C5B4', 'VKN8C5B4']","['BASIC', 'BASIC']","['BASIC', 'BASIC']","['V', 'V']","[0, 0]",FIRST CHECKED BAG; SECOND CHECKED BAG; THIRD CHECKED BAG; FIRST CHECKED BAG; SECOND CHECKED BAG; THIRD CHECKED BAG,True; True; True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,MEAL; SNACK OR DRINK; MEAL; SNACK OR DRINK,False; True; False; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,,,,,,,
1,STANDARD,ADULT,EUR,549.56,349.00,"['154', '155']","['ECONOMY', 'ECONOMY']","['S1A0ENB', 'S1A0ENB']","['ECONOBAG', 'ECONOBAG']","['ECONOMY NO BAG', 'ECONOMY NO BAG']","['S', 'S']","[0, 0]",1 ST CHECKED BAG UP TO 23KG; PREPAID TO 23KG OR EXC DIM; 1 ST CHECKED BAG UP TO 23KG; PREPAID TO 23KG OR EXC DIM,True; True; True; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare,HOT DINNER; COMPLIMENTARY FOOD AND BEV; UPGRADE MEAL; HOT DINNER; COMPLIMENTARY FOOD AND BEV; UPGRADE MEAL,False; False; True; False; False; True,BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare; BrandedFare,,,,,,,PRE RESERVED SEAT ASSIGNMENT; PRE RESERVED SEAT ASSIGNMENT,True; True,BrandedFare; BrandedFare,,,
